100000	0.2064161	0.1469634	0.1538401	0.1360301	0.1341461	0.0858511	0.0741562	0.0751964	0.0717929	0.0736587
141421	0.1428333	0.1152671	0.1158522	0.1352376	0.113552	0.1125635	0.1254744	0.1036888	0.1088823	0.1250903
199999	0.1779517	0.1858521	0.1736875	0.1787986	0.1710953	0.1800822	0.2266742	0.1697232	0.1797588	0.1752751
282841	0.271916	0.3087753	0.2914151	0.2807987	0.2793517	0.2719637	0.2667518	0.277986	0.2982869	0.2724027
399997	0.4198136	0.5071696	0.4971651	0.4200264	0.4402832	0.4403544	0.4065864	0.4306358	0.4323418	0.4469516
565681	0.6527655	0.6410536	0.6639147	0.7039794	0.6904643	0.6558609	0.682997	0.7085828	0.7208501	0.6607394
799993	1.0290869	1.0701357	1.1286958	1.1249485	1.1059813	1.1070287	1.0362215	1.0307948	1.1630452	1.0574565
1131360	1.6729787	1.847834	1.5218449	1.7438128	2.0046119	1.685523	1.7519306	2.1326403	2.2391312	2.07742
1599984	2.4929266	2.5672147	2.4477604	2.4267429	2.5617712	2.7084061	2.805391	2.5419066	2.7769894	2.5301171
2262718	4.2471508	4.0491933	3.9595621	4.1253706	3.8105098	4.0167922	4.0680672	3.9719935	4.0507873	4.0894014
