100000	0.1308164	0.0380652	0.0380915	0.0358735	0.0374568	0.0389783	0.0309458	0.0354193	0.051082	0.036895
141421	0.0641301	0.0596509	0.0581565	0.0579902	0.0574574	0.0559667	0.0565346	0.0615342	0.0564316	0.063927
199999	0.1057413	0.1006841	0.0914984	0.0887843	0.0948732	0.095315	0.0922644	0.0953627	0.0981864	0.0946868
282841	0.1573025	0.1600519	0.1582464	0.1625438	0.1535428	0.1644031	0.1576219	0.1684789	0.1661981	0.1603199
399997	0.2635225	0.296525	0.2610951	0.2804837	0.3580745	0.26584	0.2646372	0.2393829	0.2407048	0.2182764
565681	0.3814757	0.3941791	0.4560523	0.4532022	0.5688767	0.4765915	0.4042608	0.3908554	0.3778512	0.4696036
799993	0.6192137	0.6391378	0.6128605	0.6085398	0.6453392	0.8040932	0.6273703	0.6655214	0.7463392	0.607297
1131360	0.903277	0.9647227	0.9653888	1.2698057	1.4255091	1.0711303	1.4205516	1.249869	0.9402003	0.9628829
1599984	1.6835374	1.5534791	1.4159425	1.477226	1.4603473	1.4292966	1.4682206	1.4795557	1.6801998	1.5989611
2262718	2.9132767	2.4006406	2.6679426	2.5388297	3.0267621	2.3015234	2.1255988	2.1416791	2.1918748	2.2149692
