2000	0.0146008	0.0026846	0.0027107	0.0025367	0.0024795	0.0025831	0.0025923	0.0026183	0.0025654	0.0026857
2828	0.0050871	0.0050647	0.005008	0.0050461	0.0052405	0.005138	0.0052254	0.0053613	0.005263	0.0050966
3999	0.0102238	0.0101399	0.0102645	0.0101769	0.0102593	0.0100046	0.010055	0.0101046	0.010038	0.0101224
5655	0.0201229	0.0199027	0.0231943	0.0196876	0.0194324	0.0197356	0.0196517	0.0195234	0.019698	0.0200142
7997	0.0389678	0.0390029	0.0395603	0.0384821	0.038868	0.038664	0.0388691	0.0381929	0.0386802	0.0381929
11309	0.076461	0.0768518	0.0796189	0.0762067	0.0764123	0.0752651	0.0763024	0.0779876	0.0767527	0.0757168
15993	0.152001	0.1510222	0.1517716	0.1493413	0.1504488	0.1510283	0.1514675	0.1509064	0.1509854	0.1529445
22617	0.3008424	0.3055069	0.3275194	0.3131211	0.3107049	0.300372	0.301066	0.2994942	0.3007804	0.3014954
31985	0.6114905	0.6212532	0.6158284	0.6226433	0.6272896	0.6173183	0.6207634	0.6176943	0.6126137	0.6179662
45233	1.3328888	1.2807497	1.3202178	1.2868115	1.3446298	1.3479342	1.4477675	1.3770323	1.5025539	1.3194792
