10	1	0.002347751
11	1	1.836E-5
12	1	2.0719E-5
13	2	4.0512E-5
14	2	3.7015E-5
15	2	4.0789E-5
16	2	2.9974E-5
17	3	3.8073E-5
18	3	5.9264E-5
19	3	6.2144E-5
20	3	6.2221E-5
22	3	4.9813E-5
24	3	4.7302E-5
26	4	6.5241E-5
28	4	6.6032E-5
30	5	8.3575E-5
33	5	1.44464E-4
36	5	8.9312E-5
39	6	1.27095E-4
42	7	1.21581E-4
46	7	1.31949E-4
50	7	1.72265E-4
55	8	1.76188E-4
60	8	1.84118E-4
66	11	2.63184E-4
72	11	2.68828E-4
79	12	3.82695E-4
86	14	3.50828E-4
94	15	4.61948E-4
103	17	5.29129E-4
113	19	6.49622E-4
124	19	3.3798E-4
136	20	4.47707E-4
149	24	5.35306E-4
163	25	5.71835E-4
179	27	7.06123E-4
196	31	7.4668E-4
215	34	2.34085E-4
236	38	3.62131E-4
259	40	3.17309E-4
284	45	6.48016E-4
312	49	6.92813E-4
343	54	7.43549E-4
377	61	8.96399E-4
414	65	9.77093E-4
455	72	9.31776E-4
500	80	0.001056437
550	89	0.001180804
605	96	0.001559272
665	104	0.002823429
731	116	0.003373322
804	128	0.002641739
884	140	0.003697723
972	154	0.003705433
1069	169	0.004203327
1175	187	0.005130604
1292	207	0.006176593
1421	227	0.007596419
1563	249	0.008698118
1719	273	0.010166473
1890	302	0.012401404
2079	329	0.014804611
2286	364	0.017657778
2514	399	0.021027257
2765	440	0.024513587
3041	484	0.028564395
3345	532	0.034379436
3679	587	0.041119252
4046	646	0.049434958
4450	706	0.0594633
4895	776	0.06874007
5384	856	0.085703982
5922	941	0.102438474
6514	1040	0.123086354
7165	1143	0.147956771
7881	1254	0.1801892
8669	1383	0.210893531
9535	1517	0.253354191
10488	1668	0.307628613
11536	1837	0.369302059
12689	2018	0.445816318
13957	2222	0.537287342
15352	2441	0.648500504
16887	2689	0.788100153
18575	2951	0.931179623
20432	3256	1.123271494
22475	3582	1.364517731
24722	3931	1.678367954
27194	4328	2.090213082
29913	4757	2.475370097
32904	5232	3.040741973
36194	5758	3.659370541
39813	6331	4.555262123
43794	6980	5.333044496
48173	7671	6.417534969
52990	8441	7.779382541
58289	9278	9.33763373
64117	10197	11.255547439
70528	11223	25.854162728
77580	12350	62.225949664
85338	13583	73.624736918
93871	14941	87.257777515
